CategoryGER,Keyword,KeywordId,StrCity,Date,Impressions,CategoryGERId
/Sport & Fitness/Sport/Fußball,fitness crailsheim,3326905153,Bietigheim-Bissingen,20170417,1,2952
/Sport & Fitness/Sport/Fußball,nasenschutz sport,24848489626,Breisach,20170221,1,2952
/Sport & Fitness/Sport/Fußball,kraft sport,816942251,Waiblingen,20170929,1,2952
/Sport & Fitness/Sport/Fußball,fussball live sport,15439623616,Pforzheim,20170201,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Ravensburg,20170426,1,2952
/Sport & Fitness/Sport/Fußball,ktm macina sport,62564588220,Kirchheim unter Teck,20170220,1,2952
/Sport & Fitness/Sport/Fußball,live russia sport,127792857370,Schwetzingen,20171116,1,2952
/Sport & Fitness/Sport/Fußball,fussball prediction,4703608065,Achern,20170706,1,2952
/Sport & Fitness/Sport/Fußball,kraftsport,328407226964,Mannheim,20171230,3,2952
/Sport & Fitness/Sport/Fußball,fitness singen,22038422,Singen,20171026,1,2952
/Sport & Fitness/Sport/Fußball,ktm macina sport,62564833740,Rastatt,20170217,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Backnang,20170714,1,2952
/Sport & Fitness/Sport/Fußball,kraft sport,2885757744,Schorndorf,20171106,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Mannheim,20170714,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Stuttgart,20170426,2,2952
/Sport & Fitness/Sport/Fußball,biathlon training,28264523729,Renchen,20170209,1,2952
/Sport & Fitness/Sport/Fußball,biathlon training,46935540,Konstanz,20170302,1,2952
/Sport & Fitness/Sport/Fußball,kinder sport,460219556,Biberach,20170221,1,2952
/Sport & Fitness/Sport/Fußball,crivit sports,22688005068,Mannheim,20170122,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28208794409,Ravensburg,20170714,1,2952
/Sport & Fitness/Sport/Fußball,fussball taktikfolie,38010718060,Sindelfingen,20170120,1,2952
/Sport & Fitness/Sport/Fußball,aroha sport,65464793772,Schorndorf,20170126,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28142285969,Herrenberg,20170721,1,2952
/Sport & Fitness/Sport/Fußball,kinder sport,318184899042,Herrenberg,20171122,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Pforzheim,20170721,1,2952
/Sport & Fitness/Sport/Fußball,kompressionshose sport,299197576966,Friedrichshafen,20171014,2,2952
/Sport & Fitness/Sport/Fußball,kraftsport,328407226964,Offenburg,20171226,4,2952
/Sport & Fitness/Sport/Fußball,fitness singen,374414403807,Villingen-Schwenningen,20171128,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,28142285969,Bietigheim-Bissingen,20170729,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Weinstadt,20170421,2,2952
/Sport & Fitness/Sport/Fußball,crivit sports,17040186558,Offenburg,20170821,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplan,50328191385,Stuttgart,20171123,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Aalen,20170708,1,2952
/Sport & Fitness/Sport/Fußball,auto motor sport,357960838967,Villingen-Schwenningen,20171230,1,2952
/Sport & Fitness/Sport/Fußball,handball bundesliga spielplan,986573391,Waiblingen,20170708,1,2952
/Sport & Fitness/Sport/Fußball,nasenschutz sport,24848489626,Rheinstetten,20170220,1,2952
/Sport & Fitness/Sport/Fußball,fussball spardose,4026500902,Alfdorf,20170104,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Fellbach,20170418,1,2952
/Sport & Fitness/Sportwaren/Golfausrüstung/Golfclubs,fitness musik,80310551,Berlin,20170411,1,2894
/Sport & Fitness/Sport/Fußball,fussball turnierplan,50328191385,Stuttgart,20171109,1,2952
/Sport & Fitness/Sport/Fußball,life fitness ergometer gebraucht,295821079620,Weinheim,20171121,1,2952
/Sport & Fitness/Sport/Fußball,fitness singen,374414403807,Reutlingen,20171128,2,2952
/Sport & Fitness/Sport/Fußball,fussball spardose,4026500902,Stockach,20170119,1,2952
/Sport & Fitness/Sport/Fußball,handball torwarttraining,4213322183,Heddesheim,20170105,1,2952
/Sport & Fitness/Sport/Fußball,fitness training,10719266,Karlsruhe,20171030,1,2952
/Sport & Fitness/Sport/Fußball,fitness wuppertal,7799368540,Sinsheim,20170112,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Reutlingen,20170418,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Stuttgart,20170418,1,2952
/Sport & Fitness/Sport/Fußball,crivit sports,17040186558,Markdorf,20170510,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplan,3220944409,Gerstetten,20171105,1,2952
/Sport & Fitness/Sport/Fußball,life fitness ergometer gebraucht,295821079620,Vaihingen an der Enz,20171201,2,2952
/Sport & Fitness/Sport/Fußball,fitness wuppertal,323032279,Stuttgart,20170106,1,2952
/Sport & Fitness/Sport/Fußball,fussball live sport,15439623616,Untergruppenbach,20170312,1,2952
/Sport & Fitness/Sport/Fußball,fussball spardose,3275656793,Tuttlingen,20171211,1,2952
/Sport & Fitness/Sport/Fußball,fitness rahlstedt,6073454799,Aalen,20171115,1,2952
/Sport & Fitness/Sport/Fußball,fussball analyse software,13371605128,Pforzheim,20170114,1,2952
/Sport & Fitness/Sport/Fußball,fitness mannheim,350984696,Mannheim,20170207,1,2952
/Sport & Fitness/Sport/Fußball,handball torwarttraining,312253704,Ostfildern,20170215,1,2952
/Sport & Fitness/Sport/Fußball,aroha sport,27821331736,Mannheim,20171023,1,2952
/Sport & Fitness/Sport/Fußball,handball torwarttraining,4213322183,Karlsruhe,20170109,1,2952
/Sport & Fitness/Sport/Fußball,fussball live sport,296674895260,Karlsruhe,20171119,1,2952
/Sport & Fitness/Sport/Fußball,fussball analyse software,13371688918,Leimen,20171125,1,2952
/Sport & Fitness/Sport/Fußball,fitness werbung,398392445,Offenburg,20171210,1,2952
/Sport & Fitness/Sport/Fußball,fitness filderstadt,1439761750,Lahr,20170822,1,2952
/Sport & Fitness/Sport/Fußball,biathlon training,46935540,Mannheim,20170202,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplan,3220944409,Hockenheim,20171031,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Hechingen,20170418,1,2952
/Sport & Fitness/Sport/Fußball,fussball geburtstagsparty,13215682875,Wiesloch,20170911,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplan,325781150323,Konstanz,20171028,1,2952
/Sport & Fitness/Sport/Fußball,konditionstraining fussball,4355046155,Bruchsal,20170208,1,2952
/Sport & Fitness/Sport/Fußball,fitness filderstadt,316022391,Filderstadt,20170915,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Weilheim an der Teck,20170418,1,2952
/Sport & Fitness/Sport/Fußball,aixtra sport online shop,76854861373,Waiblingen,20170209,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Mannheim,20170121,1,2952
/Sport & Fitness/Sport/Fußball,biathlon training,966796606,Leutkirch im Allgau,20170219,2,2952
/Sport & Fitness/Sport/Fußball,fitness wellness,23222786454,Stuttgart,20170112,1,2952
/Sport & Fitness/Sport/Fußball,fussball trikot ungarn,313754689803,Mannheim,20171202,1,2952
/Sport & Fitness/Sport/Fußball,fitness ludwigshafen,29574957069,Pforzheim,20170128,1,2952
/Sport & Fitness/Sport/Fußball,kraftsport bilder,15604568221,Radolfzell,20170412,1,2952
/Sport & Fitness/Sport/Fußball,abschlussfahrten fussball,55556768161,Stuttgart,20170111,1,2952
/Sport & Fitness/Sport/Fußball,fitness filderstadt,1439761750,Karlsruhe,20170914,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplan,325781150323,Stuttgart,20171112,1,2952
/Sport & Fitness/Sport/Fußball,biathlon training,966770986,Baden-Baden,20170115,2,2952
/Sport & Fitness/Sport/Fußball,konditionstraining fussball,4355046155,Brackenheim,20170208,1,2952
/Sport & Fitness/Sport/Fußball,fussball live sport,15439623616,Stuttgart,20170130,2,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Schramberg,20170214,1,2952
/Sport & Fitness/Sport/Fußball,alpas sport,35449832717,Nuremberg,20170116,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Baden-Baden,20170115,1,2952
/Sport & Fitness/Sport/Fußball,kraftsport bilder,15604568221,Bad Rappenau,20171123,1,2952
/Sport & Fitness/Sport/Fußball,crivit sports,19209310792,Renchen,20171229,1,2952
/Sport & Fitness/Sport/Fußball,fitness wiesbaden nordenstadt,10448814152,Eberhardzell,20170131,1,2952
/Sport & Fitness/Sport/Fußball,fitness magazin,143339277,Bad Rappenau,20170101,1,2952
/Sport & Fitness/Sport/Fußball,inter sport shop,504450812312,Titisee-Neustadt,20171028,1,2952
/Sport & Fitness/Sport/Fußball,crivit sports,19209310792,Tuttlingen,20170914,1,2952
/Sport & Fitness/Sport/Fußball,konditionstraining fussball,14678687635,Stuttgart,20170808,1,2952
/Sport & Fitness/Sport/Fußball,decathlon fitness,303661007433,Karlsruhe,20171106,1,2952
/Sport & Fitness/Sport/Fußball,hansson sport trainhard hantelbank,355692828402,Bad Krozingen,20171112,1,2952
/Sport & Fitness/Sport/Fußball,basketball trainerschein,158691348784,Konstanz,20170622,1,2952
/Sport & Fitness/Sport/Fußball,crivit sports,19209310792,Waldshut-Tiengen,20170914,1,2952
/Sport & Fitness/Sport/Fußball,fussball 2016,84426930024,Reutlingen,20170107,1,2952
/Sport & Fitness/Sport/Fußball,bodybuilding,3114779369,Heilbronn,20170430,1,2952
/Sport & Fitness/Sport/Fußball,inter sport shop,504450812312,Furstenfeldbruck,20171203,1,2952
/Sport & Fitness/Sport/Fußball,konditionstraining fussball,3114877549,Kusterdingen,20170827,1,2952
/Sport & Fitness/Sport/Fußball,nasenschutz sport,5615517949,Balingen,20171030,1,2952
/Sport & Fitness/Sport/Fußball,fitness boxen hamburg,24524147743,Konstanz,20170118,1,2952
/Sport & Fitness/Sport/Fußball,crivit sports,22688005068,Riedlingen,20170910,1,2952
/Sport & Fitness/Sport/Fußball,fitness duisburg,29575039269,Schwanau,20170120,1,2952
